drug_id,pdb_id,Energy,pose_file_name
r2_gen_128599,3BZ3,-9.58,r2_gen_128599_3BZ3_best_docking_pose.mol2
r2_gen_35880,3BZ3,-7.83,r2_gen_35880_3BZ3_best_docking_pose.mol2
r2_gen_33877,3BZ3,-6.69,r2_gen_33877_3BZ3_best_docking_pose.mol2
r2_gen_180761,3BZ3,-6.01,r2_gen_180761_3BZ3_best_docking_pose.mol2
r2_gen_154613,3BZ3,-8.44,r2_gen_154613_3BZ3_best_docking_pose.mol2
r2_gen_193799,3BZ3,-9.34,r2_gen_193799_3BZ3_best_docking_pose.mol2
r2_gen_271125,3BZ3,-7.66,r2_gen_271125_3BZ3_best_docking_pose.mol2
r2_gen_136602,3BZ3,-10.79,r2_gen_136602_3BZ3_best_docking_pose.mol2
r2_gen_287810,3BZ3,-9.22,r2_gen_287810_3BZ3_best_docking_pose.mol2
r2_gen_99778,3BZ3,-8.04,r2_gen_99778_3BZ3_best_docking_pose.mol2
r2_gen_148934,3BZ3,-10.07,r2_gen_148934_3BZ3_best_docking_pose.mol2
r2_gen_255413,3BZ3,-7.7,r2_gen_255413_3BZ3_best_docking_pose.mol2
r2_gen_212835,3BZ3,-8.17,r2_gen_212835_3BZ3_best_docking_pose.mol2
r2_gen_107469,3BZ3,-8.18,r2_gen_107469_3BZ3_best_docking_pose.mol2
r2_gen_40821,3BZ3,-10.73,r2_gen_40821_3BZ3_best_docking_pose.mol2
r2_gen_97579,3BZ3,-9.67,r2_gen_97579_3BZ3_best_docking_pose.mol2
r2_gen_24438,3BZ3,-9.7,r2_gen_24438_3BZ3_best_docking_pose.mol2
r2_gen_184,3BZ3,-8.92,r2_gen_184_3BZ3_best_docking_pose.mol2
r2_gen_222370,3BZ3,-8.34,r2_gen_222370_3BZ3_best_docking_pose.mol2
r2_gen_93097,3BZ3,-8.91,r2_gen_93097_3BZ3_best_docking_pose.mol2
r2_gen_4185,3BZ3,-9.53,r2_gen_4185_3BZ3_best_docking_pose.mol2
r2_gen_54164,3BZ3,-10.33,r2_gen_54164_3BZ3_best_docking_pose.mol2
r2_gen_278443,3BZ3,-8.15,r2_gen_278443_3BZ3_best_docking_pose.mol2
r2_gen_154319,3BZ3,-7.97,r2_gen_154319_3BZ3_best_docking_pose.mol2
r2_gen_68423,3BZ3,-9.67,r2_gen_68423_3BZ3_best_docking_pose.mol2
r2_gen_55418,3BZ3,-7.2,r2_gen_55418_3BZ3_best_docking_pose.mol2
r2_gen_42675,3BZ3,-10.22,r2_gen_42675_3BZ3_best_docking_pose.mol2
r2_gen_120410,3BZ3,-9.59,r2_gen_120410_3BZ3_best_docking_pose.mol2
r2_gen_96985,3BZ3,-8.97,r2_gen_96985_3BZ3_best_docking_pose.mol2
r2_gen_25677,3BZ3,-8.03,r2_gen_25677_3BZ3_best_docking_pose.mol2
r2_gen_220042,3BZ3,-7.68,r2_gen_220042_3BZ3_best_docking_pose.mol2
r2_gen_66098,3BZ3,-7.47,r2_gen_66098_3BZ3_best_docking_pose.mol2
r2_gen_199323,3BZ3,-8.78,r2_gen_199323_3BZ3_best_docking_pose.mol2
r2_gen_265176,3BZ3,-11.87,r2_gen_265176_3BZ3_best_docking_pose.mol2
r2_gen_67745,3BZ3,-7.13,r2_gen_67745_3BZ3_best_docking_pose.mol2
r2_gen_17871,3BZ3,-7.72,r2_gen_17871_3BZ3_best_docking_pose.mol2
r2_gen_59734,3BZ3,-8.85,r2_gen_59734_3BZ3_best_docking_pose.mol2
r2_gen_89645,3BZ3,-5.62,r2_gen_89645_3BZ3_best_docking_pose.mol2
r2_gen_9322,3BZ3,-8.91,r2_gen_9322_3BZ3_best_docking_pose.mol2
r2_gen_284112,3BZ3,-9.96,r2_gen_284112_3BZ3_best_docking_pose.mol2
r2_gen_35700,3BZ3,-8.58,r2_gen_35700_3BZ3_best_docking_pose.mol2
r2_gen_300890,3BZ3,-8.59,r2_gen_300890_3BZ3_best_docking_pose.mol2
r2_gen_123466,3BZ3,-8.86,r2_gen_123466_3BZ3_best_docking_pose.mol2
r2_gen_124193,3BZ3,-9.12,r2_gen_124193_3BZ3_best_docking_pose.mol2
r2_gen_206181,3BZ3,-9.54,r2_gen_206181_3BZ3_best_docking_pose.mol2
r2_gen_121561,3BZ3,-8.52,r2_gen_121561_3BZ3_best_docking_pose.mol2
r2_gen_40479,3BZ3,-6.99,r2_gen_40479_3BZ3_best_docking_pose.mol2
r2_gen_283249,3BZ3,-7.33,r2_gen_283249_3BZ3_best_docking_pose.mol2
r2_gen_115702,3BZ3,-10.0,r2_gen_115702_3BZ3_best_docking_pose.mol2
r2_gen_261766,3BZ3,-9.07,r2_gen_261766_3BZ3_best_docking_pose.mol2
r2_gen_296886,3BZ3,-10.24,r2_gen_296886_3BZ3_best_docking_pose.mol2
r2_gen_234009,3BZ3,-8.46,r2_gen_234009_3BZ3_best_docking_pose.mol2
r2_gen_62732,3BZ3,-10.38,r2_gen_62732_3BZ3_best_docking_pose.mol2
r2_gen_192044,3BZ3,-10.9,r2_gen_192044_3BZ3_best_docking_pose.mol2
r2_gen_58293,3BZ3,-9.26,r2_gen_58293_3BZ3_best_docking_pose.mol2
r2_gen_219806,3BZ3,-8.33,r2_gen_219806_3BZ3_best_docking_pose.mol2
r2_gen_134716,3BZ3,-9.67,r2_gen_134716_3BZ3_best_docking_pose.mol2
r2_gen_145640,3BZ3,-7.43,r2_gen_145640_3BZ3_best_docking_pose.mol2
r2_gen_1724,3BZ3,-9.34,r2_gen_1724_3BZ3_best_docking_pose.mol2
r2_gen_3509,3BZ3,-6.83,r2_gen_3509_3BZ3_best_docking_pose.mol2
r2_gen_231071,3BZ3,-9.41,r2_gen_231071_3BZ3_best_docking_pose.mol2
r2_gen_40449,3BZ3,-8.35,r2_gen_40449_3BZ3_best_docking_pose.mol2
r2_gen_197749,3BZ3,-8.31,r2_gen_197749_3BZ3_best_docking_pose.mol2
r2_gen_12640,3BZ3,-7.62,r2_gen_12640_3BZ3_best_docking_pose.mol2
r2_gen_228395,3BZ3,-10.19,r2_gen_228395_3BZ3_best_docking_pose.mol2
r2_gen_79186,3BZ3,-7.32,r2_gen_79186_3BZ3_best_docking_pose.mol2
r2_gen_47208,3BZ3,-8.2,r2_gen_47208_3BZ3_best_docking_pose.mol2
r2_gen_126239,3BZ3,-9.1,r2_gen_126239_3BZ3_best_docking_pose.mol2
