Smiles,ID,fp_cluster_label,isCentroid,clustered_scaffold,scaffold_cluster_label,num_count,Energy
C=C1C(C)=CC(C(=O)N(C)c2cc(C)ncc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1C,r2_gen_115257,2,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-10.23
C=C1C(=O)C(=C(O)Nc2nccc(C)c2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C=C1C,r2_gen_206850,2,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-9.13
C=c1nc(C)/c(=C/Nc2nccnc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)s1,r2_gen_303583,12,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-9.52
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccccc3NCc3ccco3)n2)cc1,r2_gen_276636,3,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-10.0
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccccc3N(Cc3ccco3)S(C)(=O)=O)n2)cc1,r2_gen_60299,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.08
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccccc3NC(C)=C3CC(C)=CC3=O)n2)cc1,r2_gen_138112,4,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-6.76
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccccc3N(C)C(=O)n3cccc3C)n2)cc1,r2_gen_262901,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.26
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cc(C)ccc3NCc3[nH]nc(C)c3C)n2)cc1,r2_gen_18814,3,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.24
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccc(C)cc3NC(C)=C3COCC3=O)n2)cc1,r2_gen_208277,5,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-7.65
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cccc(C)c3NC(=O)C3=C(C)C(=O)OC3)n2)cc1,r2_gen_211972,5,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.43
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cccc(C)c3N(C)[SH]=C3CC(C)(C)CS3(=O)=O)n2)cc1,r2_gen_184186,6,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.94
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3c(C)cccc3N(C)S(=O)(=O)C3=C(C)C(=O)C(C)=C3)n2)cc1,r2_gen_171495,2,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-7.99
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cccc(C)c3NS(=O)n3cncn3)n2)cc1,r2_gen_181134,11,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-11.09
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cc(C)c(C)nc3N(C)C(=O)n3cccc3C)n2)cc1,r2_gen_49056,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-7.56
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cc(C)cnc3N/C(C)=C3/CC(C)=C(C)C3=O)n2)cc1,r2_gen_3924,2,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.29
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccc(C)nc3N(Cn3cccc3)S(C)(=O)=O)n2)cc1,r2_gen_186677,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-7.26
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccc(C)nc3N(C(S)=C3CC(C)=C(F)C3(F)F)S(C)(=O)=O)n2)cc1,r2_gen_166225,10,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.59
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccc(C)nc3N(C)S(=O)n3cccc3)n2)cc1,r2_gen_241012,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.58
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cc(C)cnc3N(C)S(=O)(=O)C3=C(C)C(=O)C(C)=C3)n2)cc1,r2_gen_183967,2,true,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.78
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3ccc(C)nc3N(C)S(=O)(=O)c3cnn(C)c3)n2)cc1,r2_gen_253138,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.26
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3c(C)ccnc3N(C)S(=O)(=O)n3cccc3)n2)cc1,r2_gen_30736,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-7.62
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3c(C)ccnc3NS(=O)(=O)c3cocc3C)n2)cc1,r2_gen_240093,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-8.35
CNC(=O)c1ccc(Nc2ncc(C(F)(F)F)c(NCc3cccnc3N(Cc3ccco3)S(C)(=O)=O)n2)cc1,r2_gen_284556,1,flase,C1CCC(CC2CCCC(CCC3CCCCC3CCC3CCCC3)C2)CC1,0,31,-11.48
