Smiles,clustered_scaffold,ID,scaffold_cluster_label,num_count,Energy
[3H]C(C)(C)N(c1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(OC)cn1)S(C)(=O)=O,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_63144,22,5863,-10.37
C=C([11C@@H](C)S(C)(=O)=O)N(C)c1ncc([SH](C)(C)=O)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_73290,22,5863,-8.63
[C-]c1cccc(C(C)(C)C)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_235206,22,5863,-8.93
[C-]c1cccc(C(=C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_46759,22,5863,-9.91
[C]c1cc(C)cc(N(C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_198664,22,5863,-10.41
[C-]c1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)c1,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_94998,22,5863,-7.78
[C-]c1ccc(C(N)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_207531,22,5863,-9.55
C=C1CC(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C(N(C)S(C)(=O)=O)C(C)=C1C,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_44152,22,5863,-7.97
C=C1C=C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C(N(C)S(C)(=O)=O)=CO1,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_180556,22,5863,-7.25
C=C1C=CC(N)=CN1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_174047,22,5863,-9.05
C=C1C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=NC(N(C)S(C)(=O)=O)=CN1C,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_61062,22,5863,-9.23
C=C1C=COC(C(F)F)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_104303,22,5863,-9.28
[C-]c1cc([SH](C)(C)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)n1,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_39930,22,5863,-7.47
[C]c1c(N(C)S(C)(=O)=O)ncc(C)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_74827,22,5863,-10.37
C=C1NC=CC(C(C)C)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_247135,22,5863,-9.43
[C-]c1ncc(C)c(N(C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_265368,22,5863,-10.14
C=C(Br)C(=O)N(c1nc(C)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F)S(C)(=O)=O,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_90194,22,5863,-9.43
C#Cc1cc([1O])c(S)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1,C1CCC(CCC2CCCC(CC3CCCCC3)C2)CC1,r2_gen_275110,22,5863,-7.66
