drugs,target_pdb_id,targets,drug_smiles
r2_gen_63144,,FAK,[3H]C(C)(C)N(c1cc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(OC)cn1)S(C)(=O)=O
r2_gen_73290,3BZ3,FAK,C=C([11C@@H](C)S(C)(=O)=O)N(C)c1ncc([SH](C)(C)=O)cc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_243538,,FAK,C=C1Cc2c(ccc(C)c2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)N(S(C)(=O)=O)C(C)C1
r2_gen_223315,3BZ3,FAK,C=C1CC(C)(c2ccncc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C1=O
r2_gen_157454,,FAK,C=C1C=CC=CC=C2CC(=O)N(C(F)F)C(=C2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)SC=C1
r2_gen_235206,3BZ3,FAK,[C-]c1cccc(C(C)(C)C)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_195608,3BZ3,FAK,C=C1C=CC(C)=C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C(N(C)S(C)(=O)=O)=N1
r2_gen_46759,3BZ3,FAK,[C-]c1cccc(C(=C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_189842,,FAK,C=C1C=CC(C)=CN1OCNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_198664,,FAK,[C]c1cc(C)cc(N(C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_115257,,FAK,C=C1C(C)=CC(C(=O)N(C)c2cc(C)ncc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1C
r2_gen_48880,3BZ3,FAK,C=C1C(C)=CC(=Nc2ccccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)CC1(C)C
r2_gen_271965,,FAK,C=C1C=CC(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=CC=C1N(C)C
r2_gen_94998,,FAK,[C-]c1ccc(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)c1
r2_gen_113277,,FAK,C=C1C=CC(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=NC(C)=N1
r2_gen_207531,3BZ3,FAK,[C-]c1ccc(C(N)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_302883,,FAK,C=C1CCCC(=O)N1c1ccc(C)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c1
r2_gen_288836,,FAK,C=C1C=CC=C(S)C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1
r2_gen_44152,,FAK,C=C1CC(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C(N(C)S(C)(=O)=O)C(C)=C1C
r2_gen_180556,3BZ3,FAK,C=C1C=C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C(N(C)S(C)(=O)=O)=CO1
r2_gen_156269,,FAK,C=C1C=C(C)N=CC(C#N)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_174047,,FAK,C=C1C=CC(N)=CN1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_90742,,FAK,C=C1C=C(C)N=C(N)C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1
r2_gen_189743,,FAK,C=C1CC(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)CCN1S(C)(=O)=O
r2_gen_61062,,FAK,C=C1C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=NC(N(C)S(C)(=O)=O)=CN1C
r2_gen_132645,,FAK,C=C1C=CN=CC=C2C(CNc3nc(Nc4ccc(C(=O)NC)cc4)ncc3C(F)(F)F)=C(Cc3ccccc3)N1S2=O
r2_gen_115631,,FAK,C=C1C=C(N(C)S(C)(=O)=O)C=C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C(N(C)S(C)(=O)=O)=N1
r2_gen_104303,,FAK,C=C1C=COC(C(F)F)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_39930,,FAK,[C-]c1cc([SH](C)(C)=O)c(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)c(N(C)S(C)(=O)=O)n1
r2_gen_131339,,,C=C1C(F)N(c2ncccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C=S1C
r2_gen_256734,3BZ3,FAK,C=C1C(Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=CC=C(C)C=C1S(C)(=O)=O
r2_gen_274691,,,C=C1C=NC(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C(S(C)(=O)=O)N=C1
r2_gen_74827,,,[C]c1c(N(C)S(C)(=O)=O)ncc(C)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_160745,,,C=C1C(=O)C(Br)CP1(C)(C)Nc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_246474,,,C=C1C(=O)C(C)(c2ccccc2)C(CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)=C1N(C)S(C)(=O)=O
r2_gen_56630,3BZ3,FAK,C=C1C(=O)CC(N(c2nc(C)ccc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)S(C)(=O)=O)=C1C
r2_gen_206850,,,C=C1C(=O)C(=C(O)Nc2nccc(C)c2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C=C1C
r2_gen_149775,,,C=C1C(=[SH]Nc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)C1C
r2_gen_303321,,,C=C1CS(=O)(=O)C(=CC)N1c1cc(C)ccc1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_104311,,,C=C1N(c2ccc(CNc3nc(Nc4ccc(C(=O)NC)cc4)ncc3C(F)(F)F)cc2C)c2ccncc2C1(C)C
r2_gen_247135,,,C=C1NC=CC(C(C)C)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_303583,,,C=c1nc(C)/c(=C/Nc2nccnc2CNc2nc(Nc3ccc(C(=O)NC)cc3)ncc2C(F)(F)F)s1
r2_gen_265368,,,[C-]c1ncc(C)c(N(C)S(C)(=O)=O)c1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
r2_gen_292738,3BZ3,FAK,C=C1N=CC=NC(Nc2ccccc2)=C1CNc1nc(Nc2ccc(C(=O)NC)cc2)ncc1C(F)(F)F
