Name,Smiles,pdb_id,energy,pose_file_name,clustered_scaffold,cluster_label,num_count
r1_347747,CC[C@H](C)CNc1cccc(Sc2ncc(N3CCC(C)(CN)CC3)nc2N)c1Cl,6MDC,-8.13,r1_347747_6MDC_best_docking_pose.mol2,C1CCC(CC2CCC(C3CCCCC3)CC2)CC1,589,1552
r1_320465,CC1C=C(c2nccc(Sc3ncc(N4CCC(C)(CN)CC4)nc3N)c2Cl)NC1,6MDC,-8.58,r1_320465_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCCC(C4CCCC4)C3)CC2)CC1,1497,250
r1_265394,C[C@H]1CCN(c2cccc(Sc3ncc(N4CCC(C)(CN)CC4)nc3N)c2Cl)C1,6MDC,-8.12,r1_265394_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCCC(C4CCCC4)C3)CC2)CC1,1497,250
r1_334856,CC1(CN)CCN(c2cnc(Sc3ccc4c(c3Cl)NCC(CF)C4)c(N)n2)CC1,6MDC,-8.83,r1_334856_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCC4CCCCC4C3)CC2)CC1,816,405
r1_67035,CC1Cc2ccc(Sc3ncc(N4CCC(C)(CN)CC4)nc3N)c(Cl)c2N1,6MDC,-8.15,r1_67035_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCC4CCCC4C3)CC2)CC1,1421,427
r1_258108,CC1(CN)CCN(c2cnc(Sc3cccc(NC4C=CC=CC4)c3Cl)c(N)n2)CC1,6MDC,-8.18,r1_258108_6MDC_best_docking_pose.mol2,C1CCC(CC2CCCC(CC3CCC(C4CCCCC4)CC3)C2)CC1,1887,68
r1_369446,CC1N=CNc2c1ccc(Sc1ncc(N3CCC(C)(CN)CC3)nc1N)c2Cl,6MDC,-8.27,r1_369446_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCC4CCCCC4C3)CC2)CC1,816,405
r1_392306,CC1CC1(C)Cc1nccc(Sc2ncc(N3CCC(C)(CN)CC3)nc2N)c1Cl,6MDC,-8.06,r1_392306_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCCC(CC4CC4)C3)CC2)CC1,346,124
r1_242655,CC1(CN)CCN(c2cnc(Sc3ccnc(N4CC5C=CC5C4)c3Cl)c(N)n2)CC1,6MDC,-8.43,r1_242655_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCCC(C4CC5CCC5C4)C3)CC2)CC1,690,12
r1_213321,CC1Cc2nccc(Sc3ncc(N4CCC(C)(CN)CC4)nc3N)c2C(F)C1,6MDC,-8.07,r1_213321_6MDC_best_docking_pose.mol2,C1CCC(C2CCC(CC3CCCC4CCCCC43)CC2)CC1,87,911
